post_id,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19
79,0.157085,-0.099681996,-0.036257893,-0.02777398,-0.024371991,0.030475201,0.06920837,0.12915699,0.097893305,-0.06891234,0.27542776,-0.061868835,-0.042599116,-0.046817344,-0.1121507,0.022716507,0.050864186,0.06270343,-0.05428419,0.07914172
94,0.13679007,-0.11433803,-0.034613308,-0.07291707,-0.018559488,0.063721605,0.008494481,0.036661297,0.022488354,0.0461534,0.2572881,-0.10279493,-0.020381428,-0.04940922,0.006042665,0.05743848,-0.023622891,0.052086007,-0.042694725,0.07405112
97,0.14986798,-0.11836436,-0.05399458,0.000728284,-0.066573076,0.014743683,0.026589446,0.15175843,0.07634747,-0.020234765,0.26202866,-0.080586106,-0.07373394,-0.027594069,-0.015926857,0.016251188,0.020531945,0.043532148,-0.00316231,0.15043414
105,0.17440483,-0.07454589,-0.011400852,0.000375789,0.013577566,-0.07143361,0.030484803,0.051912554,-0.06564576,0.028631715,0.27302966,-0.017607821,-0.036938116,0.013099117,-0.064015806,0.0504582,-0.07035202,0.024542697,0.06811319,-0.007516626
1,0.23526879,0.13100168,-0.03900746,0.0488471,0.05401839,0.026271999,-0.05602712,0.11126018,-0.114547916,-0.1393251,0.20134857,0.24627917,-0.0449158,0.012911252,0.024541589,-0.05743831,0.020029178,0.10884118,0.07124357,-0.15770534
12,0.15062638,0.11843148,0.032416996,0.11984495,0.021901732,0.15183575,0.15320587,0.02635494,0.040526293,0.06977187,0.15586504,0.18280394,0.04422905,0.08648936,0.029218975,0.047563724,0.19471556,-0.0446353,0.04597315,0.055223443
13,0.18963014,0.18796627,-0.028925389,0.047583632,0.07383099,0.22947203,-0.00631862,0.102607384,-0.027119108,-0.006603065,0.15921585,0.22865649,-0.04794011,-0.00810545,0.008225364,0.033192534,0.13594685,0.11645531,-0.03015005,0.04239538
14,0.23296244,0.2600978,-0.006038261,0.044329703,0.16699041,0.2754512,-0.068494625,0.05599706,0.08560995,0.102408476,0.17331332,0.35065416,-0.03977091,0.004551822,-0.018018255,-0.043797337,0.23659469,0.17409599,-0.11511868,0.19782671
17,0.3444788,0.29724094,-0.016214138,0.078182265,0.11044541,0.29140872,0.000499618,-0.009059611,-0.017875275,0.07403358,0.26702312,0.37443754,-0.058362577,0.04783841,-0.0499624,-0.03390016,0.22568102,0.12236449,-0.08122683,0.09801306
50,0.1751258,0.12174148,-0.00592885,0.03603297,0.006933432,0.19632438,0.002961989,0.06612553,-0.20764849,-0.10075877,0.16911761,0.20786911,-0.037473556,-0.007041697,0.053644318,-0.019977648,0.11670137,0.096490316,0.084442444,-0.20457391
51,0.19087465,0.19700275,-0.005600638,0.018982694,0.06983206,0.08726384,0.025164224,-0.008297096,-0.055786043,-0.08962827,0.17071983,0.27639657,-0.016008502,-0.01317298,-0.008399066,-0.00146185,0.11015623,0.07146585,0.03431855,-0.08674009
54,0.23115498,0.22813366,0.05007583,0.030390957,0.10203517,0.21274495,0.025444148,-0.06241607,-0.003290752,0.04983909,0.19042747,0.3379277,0.012694581,-0.002860886,-0.005014048,-0.009946098,0.25890213,0.08812859,0.01087257,0.042572692
59,0.32010666,0.27155852,-0.003329087,0.11386286,0.17308293,0.3659598,-0.030796025,0.0373304,0.052716672,0.1030995,0.24165122,0.3827639,-0.052561186,0.035088822,-0.022137983,-0.07005499,0.3273846,0.21662661,-0.080602616,0.19175665
60,0.2364675,0.25074878,-0.031015668,0.06949196,0.14547464,0.20966522,-0.07007353,0.04252664,0.13357128,0.09454828,0.17212072,0.35787892,-0.054446757,0.017414285,-0.03682334,-0.090569705,0.16544622,0.11057698,-0.09975374,0.06998779
15,0.25156188,0.3395984,-0.0537796,-0.11179082,-0.17952213,-0.28594595,0.09970166,-0.07337098,-0.001704366,0.034655787,0.1571417,0.3928047,-0.08691007,-0.08884426,0.07044832,0.09977798,-0.26155287,-0.22832036,0.120369464,-0.055148296
